year,activity,ptf,index
2014,"Electricidad, gas y agua",-1.24565312425305,94.55448966867587
2015,"Electricidad, gas y agua",-1.543882404429683,93.10589064635462
2016,"Electricidad, gas y agua",-1.405680943475681,91.80627451206814
2017,"Electricidad, gas y agua",-0.5646658872885291,91.28933665690705
2018,"Electricidad, gas y agua",-0.1995400957006175,91.10735944630791
2019,"Electricidad, gas y agua",0.02033753977293618,91.12589032607004
2020,"Electricidad, gas y agua",-0.8771261881283954,90.33009643818136
2021,"Electricidad, gas y agua",1.474460386710647,91.67184539758323
2022,"Electricidad, gas y agua",1.372060406158591,92.93830693243974
2023,"Electricidad, gas y agua",0.3562460571739474,93.26998643328078
2024,"Electricidad, gas y agua",0.9377115268507139,94.14870332313014
2005,Construcción,,100
2006,Construcción,2.202489191980401,102.2269230397439
2007,Construcción,-0.7637413976546483,101.44914758613996
2008,Construcción,2.942703423551406,104.47885413637931
2009,Construcción,-1.273374282883108,103.15688196647798
2010,Construcción,-4.045150293251145,99.06730349203471
2011,Construcción,-1.797824699690425,97.30216166189257
2012,Construcción,-1.587085875840158,95.77008266072073
2013,Construcción,2.74464359668742,98.43503452559388
2014,Construcción,0.0008095250582940139,98.4358313850899
2015,Construcción,-0.6957646025933855,97.75332678003947
2016,Construcción,-0.03753195565899592,97.71664492891584
2017,Construcción,-1.311985617985779,96.44298995563958
2018,Construcción,0.2993275297417135,96.73210285647131
2019,Construcción,-2.155008539843339,94.66981878886851
2020,Construcción,-9.761664221966765,85.86519820659683
2021,Construcción,-2.709261822021173,83.57011545630097
2022,Construcción,0.7594919834269636,84.207240176728
2023,Construcción,-1.415255627508405,83.02388596646455
2024,Construcción,0.5336129650584118,83.46809631403332
2005,"Comercio, hoteles y restaurantes",,100
2006,"Comercio, hoteles y restaurantes",4.393378962035465,104.49131685004578
2007,"Comercio, hoteles y restaurantes",0.1205458813605063,104.61735277918645
2008,"Comercio, hoteles y restaurantes",-0.3059487509157224,104.29776642962938
2009,"Comercio, hoteles y restaurantes",-0.8667333601195416,103.39768916376629
2010,"Comercio, hoteles y restaurantes",-0.6030235193831022,102.77605296958818
2011,"Comercio, hoteles y restaurantes",1.572113705527552,104.4045769675745
2012,"Comercio, hoteles y restaurantes",0.5944412202015918,105.02704909131702
2013,"Comercio, hoteles y restaurantes",1.432043931337711,106.54190337537626
2014,"Comercio, hoteles y restaurantes",1.952494208810829,108.642568819504
2015,"Comercio, hoteles y restaurantes",3.511944102071161,112.52582488085436
2016,"Comercio, hoteles y restaurantes",0.05446474834625281,112.58712848111062
2017,"Comercio, hoteles y restaurantes",0.9996880238608787,113.71829315937862
2018,"Comercio, hoteles y restaurantes",1.242190422264866,115.13970092359509
2019,"Comercio, hoteles y restaurantes",0.06304138586469277,115.21230947105039
2020,"Comercio, hoteles y restaurantes",1.953203178637931,117.48476051018892
2021,"Comercio, hoteles y restaurantes",6.420836065770416,125.27570996036876
2022,"Comercio, hoteles y restaurantes",0.5579108185024388,125.97659002405209
2023,"Comercio, hoteles y restaurantes",-3.489136011462874,121.65689372196286
2024,"Comercio, hoteles y restaurantes",-0.09326703363218547,121.54348084261473
