year,activity,weight,sector_ptf,contribution
2012,Transporte y comunicaciones,0.08653774340994258,0.001877170370519821,0.0001624460878607911
2012,Finanzas e inmobiliarias,0.14562078901393088,-0.8943863385913149,-0.130241244308948
2012,Servicios sociales,0.14868472074757538,1.397321476764957,0.20776035356738728
2013,Agricultura,0.050896418244455344,4.197681309931134,0.2136469436071882
2013,Minería,0.08467596725939952,-2.015863651162977,-0.1706952045252898
2013,Manufactura,0.23154601688464616,-0.3658403928904055,-0.08470888578928741
2013,"Electricidad, gas y agua",0.031158266297074244,-0.2332157642015922,-0.007266598885668885
2013,Construcción,0.09422858696811028,2.74464359668742,0.2586238878469275
2013,"Comercio, hoteles y restaurantes",0.11822076537427861,1.432043931337711,0.16929732961233507
2013,Transporte y comunicaciones,0.08718477955814063,3.086188211600319,0.26906863890330607
2013,Finanzas e inmobiliarias,0.14912280295300606,-1.923851305058301,-0.28689009907509255
2013,Servicios sociales,0.15296639646088897,-0.3560353916220773,-0.05446145086897054
2014,Agricultura,0.05020599601762843,1.787500963451692,0.08974326625256263
2014,Minería,0.07827170161648267,-7.472051244634315,-0.5848501654830851
2014,Manufactura,0.2234053343000547,-0.8482892953277448,-0.18951235360585264
2014,"Electricidad, gas y agua",0.03145027262289922,-1.24565312425305,-0.03917613035132458
2014,Construcción,0.10085744945539732,0.0008095250582940139,0.00008164663264976607
2014,"Comercio, hoteles y restaurantes",0.11834195781014367,1.952494208810829,0.23106198728364097
2014,Transporte y comunicaciones,0.08857884935607388,-0.2565072206131145,-0.022721114453434277
2014,Finanzas e inmobiliarias,0.15262945226608474,0.5090571564940483,0.07769711496781717
2014,Servicios sociales,0.15625898655523565,-1.682766849357254,-0.2629474424893114
2015,Agricultura,0.05209766791032553,2.762916370718889,0.14394149954571456
2015,Minería,0.06550965867651101,-3.415592255890976,-0.2237542828615521
2015,Manufactura,0.2214284916245248,-1.015543048457428,-0.22487016539969995
2015,"Electricidad, gas y agua",0.032890625125108076,-1.543882404429683,-0.0507792574013472
2015,Construcción,0.10496797912778562,-0.6957646025933855,-0.07303300428287454
2015,"Comercio, hoteles y restaurantes",0.12054157329000838,3.511944102071161,0.42333526737022353
2015,Transporte y comunicaciones,0.08977654800474003,-0.8220538651203575,-0.07380115828445985
2015,Finanzas e inmobiliarias,0.15383476180163666,1.61209709700093,0.24799657291824803
2015,Servicios sociales,0.15895269443935986,1.366675099229038,0.2172366894456351
2016,Agricultura,0.05610589868176452,1.258488630478841,0.07060863559379844
2016,Minería,0.05401601177492865,-1.884536099711061,-0.10179512415227078
2016,Manufactura,0.22215919976461246,0.4785829203743972,0.10632159861138732
2016,"Electricidad, gas y agua",0.03441786698207416,-1.405680943475681,-0.048380539731782496
2016,Construcción,0.1059693023582875,-0.03753195565899592,-0.003977235157325978
2016,"Comercio, hoteles y restaurantes",0.1253730206572185,0.05446474834625281,0.006828410019504961
2016,Transporte y comunicaciones,0.08930320947436576,-0.2149464472042305,-0.019195407600450097
2016,Finanzas e inmobiliarias,0.15188837186111023,-3.575045430069326,-0.5430078297027325
2016,Servicios sociales,0.1607671184456384,-0.2901764827156512,-0.04665083696688584
2017,Agricultura,0.05794912714456391,1.409865751323098,0.08170048968018834
2017,Minería,0.05183806374011167,-3.905633942038841,-0.20246050123295306
2017,Manufactura,0.2187871865739327,-0.7413111430048136,-0.16218937935392946
2017,"Electricidad, gas y agua",0.034043214430137386,-0.5646658872885291,-0.019223041882347185
2017,Construcción,0.10347597262995206,-1.311985617985779,-0.1357589878975872
2017,"Comercio, hoteles y restaurantes",0.12949704076070556,0.9996880238608787,0.1294566407739014
2017,Transporte y comunicaciones,0.08809784642130244,0.477430042363971,0.04206055854909704
2017,Finanzas e inmobiliarias,0.1526300749618162,-0.9114071366321785,-0.13910813958490365
2017,Servicios sociales,0.16368147333747815,3.203928254913168,0.5244236972317625
2018,Agricultura,0.05700917344459816,0.9653513786288801,0.05503388417923578
2018,Minería,0.05628721993698596,-4.47748708434442,-0.2520253002815084
2018,Manufactura,0.21362081297651725,-0.1244861122196323,-0.02659282449664381
2018,"Electricidad, gas y agua",0.03380027672149828,-0.1995400957006175,-0.0067445104517151215
2018,Construcción,0.09856909117087247,0.2993275297417135,0.029504442569062997
2018,"Comercio, hoteles y restaurantes",0.1305372151972618,1.242190422264866,0.16215207846716634
2018,Transporte y comunicaciones,0.08752460285223887,1.394856333770233,0.1220842466491696
2018,Finanzas e inmobiliarias,0.15490946781095347,-0.06093497941928661,-0.009439405232913091
2018,Servicios sociales,0.16774213988907344,0.484025651499655,0.08119149854375504
2019,Agricultura,0.05713636877369871,2.965325833617302,0.1694279503637337
2019,Minería,0.05757154619259014,-1.079371321192514,-0.062141075876991865
2019,Manufactura,0.21133410662260665,-0.01082758408335449,-0.0022882378091368762
2019,"Electricidad, gas y agua",0.03537447942341612,0.02033753977293618,0.0007194298822206379
2019,Construcción,0.09413599516795043,-2.155008539843339,-0.20286387349358448
2019,"Comercio, hoteles y restaurantes",0.13099364376510925,0.06304138586469277,0.008258020842418359
2019,Transporte y comunicaciones,0.08675083324425048,0.06996641145780869,0.0060696444930749775
2019,Finanzas e inmobiliarias,0.15518249624758945,0.1063362877133422,0.016501530569058318
2019,Servicios sociales,0.17152053056278882,1.22946186677786,0.21087795169645535
2020,Agricultura,0.06279514862119817,3.389846279710143,0.21286590093741414
2020,Minería,0.04991447758587564,-8.483295101509748,-0.42343924319867693
2020,Manufactura,0.211729574875545,-1.930024983786335,-0.40864336931626133
2020,"Electricidad, gas y agua",0.03887474260722046,-0.8771261881283954,-0.0340980547975438
2020,Construcción,0.08291797425624801,-9.761664221966765,-0.8094174226551775
2020,"Comercio, hoteles y restaurantes",0.13304506910821626,1.953203178637931,0.2598640518842712
2020,Transporte y comunicaciones,0.08275258206648115,-1.071150570203915,-0.08864047546635755
2020,Finanzas e inmobiliarias,0.16040997812882507,0.6845146278142356,0.10980297647654236
2020,Servicios sociales,0.17756045275038995,2.264607604362762,0.402104751532628
2021,Agricultura,0.06792466277735687,1.204753520687161,0.08183247662250884
2021,Minería,0.0475877123285182,-2.474676532535527,-0.11776419493643557
2021,Manufactura,0.21911905769970016,3.971828176181219,0.8703032473099473
2021,"Electricidad, gas y agua",0.03942546134572378,1.474460386710647,0.058131280982061544
2021,Construcción,0.07129791220545306,-2.709261822021173,-0.1931647115280514
2021,"Comercio, hoteles y restaurantes",0.1430377364650371,6.420836065770416,0.9184218570608743
2021,Transporte y comunicaciones,0.07831022794678064,0.3587370035522532,0.028092776521122003
2021,Finanzas e inmobiliarias,0.15651328198611508,-6.700988681017407,-1.0487937310178428
2021,Servicios sociales,0.17678394724531565,0.09759719797223987,0.017253617897615082
2022,Agricultura,0.07129315046999224,-0.8934836504422696,-0.06369926433345868
2022,Minería,0.06010059001690361,-1.176746730117744,-0.07072317278053847
2022,Manufactura,0.22637464086086873,-0.5837025630257742,-0.13213545807452823
2022,"Electricidad, gas y agua",0.037243238031789104,1.372060406158591,0.05109997230055764
2022,Construcción,0.06638957437760729,0.7594919834269636,0.05042234952292088
2022,"Comercio, hoteles y restaurantes",0.15541569654711584,0.5579108185024388,0.08670809846872805
2022,Transporte y comunicaciones,0.07803200348926764,2.453327082308974,0.1914380274470487
2022,Finanzas e inmobiliarias,0.13930128410717157,0.28125281628314,0.039178878466999814
2022,Servicios sociales,0.1658498220992841,-0.6500565364832234,-0.10781176093021937
2023,Agricultura,0.07442406821074765,0.4196019054416946,0.031228480831952368
2023,Minería,0.061212977984466455,-0.6001539964622307,-0.036737213372732086
2023,Manufactura,0.22278824355198745,-1.039587191784061,-0.23160780447671406
2023,"Electricidad, gas y agua",0.03984194266312166,0.3562460571739474,0.014193534983887575
2023,Construcción,0.06490148076082608,-1.415255627508405,-0.09185218588038759
2023,"Comercio, hoteles y restaurantes",0.15710476876393561,-3.489136011462874,-0.5481599062667954
2023,Transporte y comunicaciones,0.0797700150703049,-2.502589639302834,-0.19963161324197598
2023,Finanzas e inmobiliarias,0.13333872620560866,-0.1634304909659878,-0.021791613488562046
2023,Servicios sociales,0.16661777678900183,3.47272225290181,0.5786172611841933
2024,Agricultura,0.07629345573419605,3.80223132133859,0.29008536700571946
2024,Minería,0.04923587531758655,-2.330699844728882,-0.11475404695778957
2024,Manufactura,0.21300869643122544,-1.195620071694396,-0.25467747289863163
2024,"Electricidad, gas y agua",0.04440553451277984,0.9377115268507139,0.041639581568600856
2024,Construcción,0.06599335298362496,0.5336129650584118,0.035214908759738504
2024,"Comercio, hoteles y restaurantes",0.15443624525810828,-0.09326703363218547,-0.01440381048051643
2024,Transporte y comunicaciones,0.08032696870413869,1.149510533655444,0.09233669666201862
2024,Finanzas e inmobiliarias,0.1371646711172403,0.4076931953080921,0.05592110305117127
2024,Servicios sociales,0.17913519994109964,2.744973157275121,0.4917213153614303
