year,activity,gross_output_share,tornqvist_weight_from_published_gross_output,implicit_exact_weight,difference_percentage_points,sector_ptf,contribution
2007,Minería,0.050167592659790934,0.051993528955343385,0.051993565962617255,0.0000037007273870348634,-4.324306909079369,-0.2248361365198197
2007,Manufactura,0.26770474662193944,0.2680931841833226,0.26809338739439104,0.00002032110684169197,0.007352163992550231,0.001971066549441862
2007,"Electricidad, gas y agua",0.030166678762367855,0.030489434706024235,0.03048878544935916,-0.00006492566650764808,0.4591468373219634,0.013998829412861154
2007,Construcción,0.08258675977668647,0.08149693689269362,0.08149758431842447,0.00006474257308458631,-0.7637413976546483,-0.06224307895283105
2007,"Comercio, hoteles y restaurantes",0.125220074563278,0.12487184502603324,0.12487261238846659,0.00007673624333459639,0.1205458813605063,0.015052879118156582
2007,Transporte y comunicaciones,0.09167735120271589,0.09099633190940795,0.09099640199927216,0.00000700898642042036,-1.266182576094153,-0.11521805869873755
2007,Finanzas e inmobiliarias,0.1375697854760196,0.1364060262335336,0.13640613149633907,0.000010526280547207278,-5.517098662999077,-0.7525660857033285
2007,Servicios sociales,0.1521719847432889,0.15211126771589967,0.15211003943044515,-0.0001228285454513145,-2.698907028364784,-0.4105308545036729
2008,Agricultura,0.060939283261868975,0.06183715472789093,0.06183729920908755,0.000014448119661780723,-2.892545664586325,-0.17886721173697356
2008,Minería,0.06243521497026583,0.05630140381502838,0.056301536799313025,0.000013298428464675327,-2.773676452773486,-0.15616224687521443
2008,Manufactura,0.26017786949334687,0.26394130805764315,0.26394192476515754,0.00006167075143892475,-1.336646828157722,-0.3527971365551919
2008,"Electricidad, gas y agua",0.02970322952257524,0.029934954142471548,0.029933757100009062,-0.00011970424624863085,-1.450842986662372,-0.043429181553003134
2008,Construcción,0.08905494484570006,0.08582085231119327,0.08582124832884787,0.000039601765459973404,2.942703423551406,0.25254648127075596
2008,"Comercio, hoteles y restaurantes",0.1223724501028825,0.12379626233308025,0.12379722364251451,0.00009613094342636463,-0.3059487509157224,-0.03787560594026165
2008,Transporte y comunicaciones,0.09013077799159565,0.09090406459715578,0.09090427710559126,0.000021250843548759057,-0.7215951766155886,-0.06559608789312153
2008,Finanzas e inmobiliarias,0.13889791366915036,0.138233849572585,0.13823417310533465,0.00003235327496464713,-3.130106145545206,-0.43268763476136785
2008,Servicios sociales,0.14628831614261453,0.14923015044295174,0.1492285599441445,-0.00015904988072412696,1.422997835512152,0.21235191779711304
2009,Agricultura,0.05994126574385262,0.0604402745028608,0.06044037564908492,0.000010114622412543683,-2.590852329266908,-0.15659208803219857
2009,Minería,0.05897153153814059,0.060703373254203205,0.060703475923722196,0.000010266951899068344,7.47984825443352,0.4540527884261007
2009,Manufactura,0.24525449218481346,0.25271618083908015,0.2527166084874729,0.00004276483927534436,-2.243911980422449,-0.5670738254367701
2009,"Electricidad, gas y agua",0.03309132007647833,0.03139727479952679,0.031396157452274365,-0.00011173472524231287,-0.1068556254839663,-0.003354856042355867
2009,Construcción,0.09223593656150132,0.0906454407036007,0.09064568732810957,0.00002466245088705854,-1.273374282883108,-0.11542588709787796
2009,"Comercio, hoteles y restaurantes",0.1211629015914645,0.1217676758471735,0.12176787927171534,0.000020342454183641667,-0.8667333601195416,-0.10554028315580452
2009,Transporte y comunicaciones,0.08799019720221365,0.08906048759690466,0.0890600638041634,-0.00004237927412609199,-4.614811382471736,-0.4109953961671123
2009,Finanzas e inmobiliarias,0.14801857854847067,0.14345824610881053,0.14345905425875677,0.00008081499462408992,1.781420136174772,0.2555608479731385
2009,Servicios sociales,0.15333377655306488,0.1498110463478397,0.14981069782470072,-0.00003485231389876997,0.5441217409924994,0.08151525771967741
2010,Agricultura,0.05660026930398848,0.05827076752392055,0.05827077248456433,4.96064378463501e-7,-1.477630430449354,-0.08610266662898317
2010,Minería,0.06764574284423845,0.06330863719118952,0.06330863814037384,9.491843144804335e-8,-1.436831008686941,-0.09096381439782988
2010,Manufactura,0.24546340969241096,0.2453589509386122,0.2453594943068786,0.000054336826638134994,-1.13392960469398,-0.27822039438731366
